model_label,disease,simple_explanation,common_signs,safe_actions,avoid,when_to_seek_help,source_url
Acne,Acne,Topic: Acne. Acne is a common skin disease that causes pimples.,"Pimples, blackheads, whiteheads, oily skin, inflamed bumps, and possible scarring.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Clean skin gently, avoid squeezing pimples, and use acne treatment when needed.; Lakukan pencegahan sesuai informasi knowledge base: Use gentle cleanser, avoid comedogenic products, wash after sweating, and avoid picking acne.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if acne is severe, painful, leaves scars, or does not improve.",
Actinic_Keratosis,Actinic keratosis,Topic: Tanning. Can a tan be healthy?Some people think that tanning gives them a healthy glow.,"Rough, scaly, dry patches on sun-exposed skin, sometimes pink, red, brown, or tender.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Dermatology treatment may include freezing, topical medicines, curettage, or photodynamic therapy.; Lakukan pencegahan sesuai informasi knowledge base: Sun protection, sunscreen, hats, protective clothing, and avoiding tanning beds.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,See a doctor because actinic keratosis can resemble or progress to skin cancer.,
Benign_tumors,Benign skin tumors,Topic: Tuberous Sclerosis. Tuberous sclerosis is a rare genetic disease that causes benign tumors to grow in the brain and other organs.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Bullous,Bullous skin diseases,Topic: Pemphigus. Pemphigus is an autoimmune disorder.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Candidiasis,Cutaneous candidiasis,Topic: Skin Infections. What are skin infections?Your skin is your body's largest organ.,"Red itchy rash, moist patches, satellite bumps, cracking, or soreness in skin folds.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Keep skin dry, reduce friction, and use antifungal treatment.; Lakukan pencegahan sesuai informasi knowledge base: Keep folds dry, change sweaty clothes, manage diabetes, and avoid prolonged moisture.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if rash spreads, recurs often, is painful, or occurs with diabetes/weak immunity.",
DrugEruption,Drug eruption,"Topic: Drug Reactions. Most of the time, medicines make our lives better.","Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Eczema,Eczema / Atopic dermatitis,Topic: Eczema. Eczema is a term for several different types of skin swelling.,"Dry skin, itching, redness, rash, swelling, cracked skin, and repeated flare-ups.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Moisturize regularly, avoid triggers, use gentle skin care, and treat inflammation during flare-ups.; Lakukan pencegahan sesuai informasi knowledge base: Avoid harsh soaps, fragrances, irritating fabrics, allergens, and keep skin moisturized.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if eczema is severe, infected, painful, or disrupts sleep.",
Infestations_Bites,Infestations and bites,"Topic: Insect Bites and Stings. Most insect bites are harmless, though they sometimes cause discomfort.","Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Lichen,Lichen skin diseases,Topic: Skin Conditions. What does your skin do?Your skin is your body's largest organ.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Lupus,Cutaneous lupus,Topic: Lupus. What is lupus?Lupus is a chronic (long-lasting) type of autoimmune disease.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
